No,Philosophy,School,Era,Pitch,Flagship Examples,Signature Moves,Best For,Avoid For,Pair With Style,Pair With Typography,Pair With Palette,Risk Level,AI Prompt Seed
1,Swiss Editorial,Swiss / International,1950s-now,"Grid-locked, neutral, content-first. Designed by engineers for engineers — and it still wins on clarity 70 years later","Pentagram, Vignelli, Helvetica documentary, Knoll catalogs","12-col grid, Helvetica/Akzidenz, generous negative space, asymmetric type-as-image, 2-column ratio rules, no decorative ornament","Documentation, enterprise SaaS, financial dashboards, high-trust B2B, museum/archive sites","Playful consumer brands, gaming, kids products, entertainment","Minimalism","Inter + Söhne, or Helvetica Now + Söhne","Monochrome + single accent",Low,"Design with strict 12-column grid, Helvetica or Söhne, generous negative space, asymmetric type-as-image, single accent color, no ornament. Treat type as image."
2,Kenya Hara Minimalism,Japanese Minimalism,1990s-now,"Emptiness as luxury. The Muji school: less is more is more is more. Quiet, considered, every pixel earns its keep","Muji, Hara Design Institute, Studio Ghibli archive sites","Vast white space, single hairline rule, off-black ink (#1a1a1a), seasonal palette, hand-set type, photography that breathes","Premium retail, lifestyle brands, wellness, hospitality, editorial photography","Conversion-heavy SaaS, dashboards, dense tools","Minimalism","Noto Serif JP + Inter, or GT America Mono + serif body","Off-white + ink + one seasonal accent",Low,"Design with vast negative space, off-black ink, hairline rules only, photography that breathes. Emptiness as luxury. No more than one accent color."
3,Brutalist Web,Anti-Design,1990s revival 2018+,"Raw, default-styled, intentionally broken. Rejects the SaaS aesthetic. Loud, weird, unforgettable","Bloomberg Businessweek, Are.na, Cash App early site, Balenciaga.com","System fonts (Times, Arial), unstyled inputs, monochrome + one neon, sharp 0px corners, instant transitions, visible grid","Design portfolios, art / fashion brands, editorial, counter-culture, indie products","Healthcare, finance, conservative B2B, accessibility-critical","Brutalism","Times New Roman, Arial, Courier, or stark display face","Black + white + single neon (red, lime, hot pink)",Medium,"Design with system fonts (Times/Arial), unstyled inputs, sharp 0px corners, instant transitions, monochrome plus one neon accent. Embrace the default. Reject decoration."
4,Editorial Magazine,Magazine / Print,2010s-now,"Treat the screen like a magazine spread. Drop caps, pull quotes, asymmetric grids, photography as protagonist","The New York Times, Apple Newsroom, Bloomberg features, MUBI","Drop caps, pull quotes, asymmetric grids, photography as protagonist, considered serif body, scroll-paced storytelling","Publications, long-form content, premium brands, case studies, narrative product pages","High-density dashboards, transactional flows","Minimalism, Glassmorphism","Tiempos Headline + Inter body, or Fraunces display + Söhne body","Off-white + ink + 1-2 editorial accents",Low,"Design like a magazine spread: drop caps, pull quotes, asymmetric column grids, photography as protagonist, serif body type, scroll-paced narrative."
5,Bold Maximalism,Maximalism,2020s,"Density, color, motion, layered everything. Every pixel works. The opposite of generic AI minimalism","Linear (early), Vercel ship pages, Stripe Sessions, MSCHF","Saturated color, multiple type scales, overlap and rotation, custom cursors, scroll-orchestrated motion, easter eggs","Launch pages, conferences, brand campaigns, product moments, design tools","Long-running utility apps, accessibility-critical, low-bandwidth audiences","Aurora, Glassmorphism, Brutalism","Distinctive display + clean sans (Editorial New + Inter)","2-3 saturated colors with intentional clash",High,"Design with bold maximalism: saturated color, type at multiple scales, overlap and rotation, custom cursor, scroll-orchestrated motion, hidden easter eggs. Every pixel works."
6,Refined Minimalism,Anti-Generic Minimalism,2020s,"Minimalism with intent. Not 'I had no ideas' — 'I picked one idea and made it sing'. Distinctive type, considered motion, atmosphere","Linear, Things 3, Notion early, Arc browser, Raycast","One distinctive font, monochrome + 1 accent, considered 200-400ms motion, atmospheric backgrounds (subtle gradient, noise, or texture)","Premium SaaS, productivity tools, design-led products, founder sites","Loud consumer brands, gaming, kids","Minimalism","One distinctive sans (Söhne, Aeonik, Suisse Int'l, Inter Display)","Off-white + ink + single brand color",Low,"Design with refined minimalism: one distinctive sans-serif, monochrome plus a single brand accent, considered 200-400ms motion, atmospheric subtle texture. Pick one idea and make it sing."
7,Retro-Futuristic,Y2K / Cyberpunk,1995-2005 revival 2022+,"CRT scanlines, chrome, holographic gradients, Eurostile / OCR fonts, the future as imagined in 1999","Spotify Wrapped, Synthwave portfolios, Fontshare, hyperdrip brands","CRT scanlines, chrome and holographic gradients, monospace + display, glitch effects, neon on black","Music, gaming, fashion drops, crypto/web3, NFT marketplaces","Healthcare, finance, enterprise, anything that must read as 'mature'","Aurora, Brutalism","Eurostile, OCR-A, JetBrains Mono + display","Black + neon (cyan, magenta, lime) + chrome",High,"Design retro-futuristic: CRT scanlines, chrome surfaces, holographic gradients, monospace + display fonts, glitch effects, neon on black. The future as imagined in 1999."
8,Organic / Hand-Crafted,Organic / Craft,2018-now,"Hand-drawn marks, off-grid, textured papers, irregular shapes. Anti-Figma. Reads as human, made-by-someone","Are.na, indie publishers, ceramic studios, MailChimp early, Slack early","Hand-drawn icons, irregular shapes, textured paper backgrounds, off-grid placement, warm earth palette","Lifestyle, food, wellness, indie brands, creative tools, education","Enterprise, finance, legal, anything requiring 'serious'","Editorial, Minimalism","Custom hand-set + clean sans, or warm humanist serif (Recoleta, Caslon)","Warm earth (terracotta, sage, cream, ink)",Medium,"Design organic and hand-crafted: hand-drawn icons, irregular shapes, textured paper backgrounds, off-grid placement, warm earth palette. Anti-Figma. Made by a human."
9,Aurora / Glassmorphic Modern,Modern SaaS,2020s,"Layered translucency, soft blur, vibrant atmosphere behind glass. The 2024 SaaS look — cohesive when done with restraint","Apple visionOS, Linear, Arc, Stripe, Raycast","backdrop-filter blur, translucent layered cards, gradient atmospheric backgrounds, soft 8-16px radii, considered shadows","Modern SaaS, AI products, dashboards with personality, finance UX","Editorial, brutalist briefs, anything requiring 'classic'","Glassmorphism, Aurora","Inter or distinctive sans (Geist alternatives)","Saturated atmospheric gradient + glass overlays",Medium,"Design aurora/glassmorphic: backdrop-filter blur 16px, translucent layered cards, gradient atmospheric backgrounds, soft 8-16px radii, considered subtle shadows. Restraint over saturation."
10,Anti-Design / Default,Anti-Design,2018-now,"Browser default styles. <h1> is whatever the browser says it is. The radical position: design by not-designing","CSS Naked Day, Frank Chimero's Everything Easy, default-styled Substacks","No custom CSS or near-zero, system fonts, default colors, default underlines on links, no animation","Personal sites, manifestos, anti-corporate statements, blogs, archives","Anything trying to convert, sell, or appear professional","Brutalism","System fonts only","System default colors",High,"Design with browser defaults only. No custom CSS beyond minimal layout. System fonts, default link styling, default colors. Radical anti-design."
